GISJOIN,STATEA,COUNTYA,idtract,AF7PE001,AF7PE002,AF7PE003,AF9LE001
G5300330000100,53,033,1,3547,1142,2405,478100
G5300330000200,53,033,2,3553,1987,1566,359600
G5300330000300,53,033,3,1176,685,491,371400
G5300330000401,53,033,4,3542,889,2653,316300
G5300330000402,53,033,5,2392,1091,1301,405000
G5300330000500,53,033,6,1251,1178,73,616200
G5300330000600,53,033,7,3423,1745,1678,389900
G5300330000700,53,033,8,2188,1073,1115,333800
G5300330000800,53,033,9,1040,746,294,442400
G5300330000900,53,033,10,850,752,98,664300
G5300330001000,53,033,11,762,453,309,425600
G5300330001100,53,033,12,1085,777,308,422500
G5300330001200,53,033,13,3621,949,2672,355300
G5300330001300,53,033,14,2166,927,1239,333500
G5300330001400,53,033,15,2289,1350,939,459900
G5300330001500,53,033,16,1103,858,245,651800
G5300330001600,53,033,17,1816,1446,370,699800
G5300330001701,53,033,18,1942,922,1020,351000
G5300330001702,53,033,19,2143,1229,914,382200
G5300330001800,53,033,20,2236,1089,1147,390600
G5300330001900,53,033,21,2233,1284,949,387400
G5300330002000,53,033,22,1593,962,631,468800
G5300330002100,53,033,23,1740,1178,562,489700
G5300330002200,53,033,24,2202,1924,278,651100
G5300330002400,53,033,25,1257,941,316,512200
G5300330002500,53,033,26,1271,890,381,475200
G5300330002600,53,033,27,1919,1245,674,590700
G5300330002700,53,033,28,2410,1711,699,583700
G5300330002800,53,033,29,2119,1230,889,550300
G5300330002900,53,033,30,1884,1199,685,547600
G5300330003000,53,033,31,2485,1690,795,550400
G5300330003100,53,033,32,2673,2116,557,532300
G5300330003200,53,033,33,4050,1998,2052,630000
G5300330003300,53,033,34,3205,1537,1668,532600
G5300330003400,53,033,35,1504,963,541,576500
G5300330003500,53,033,36,1876,1033,843,668000
G5300330003600,53,033,37,3338,937,2401,604200
G5300330003800,53,033,38,847,614,233,562500
G5300330003900,53,033,39,1174,893,281,617300
G5300330004000,53,033,40,1349,856,493,634700
G5300330004100,53,033,41,2919,1946,973,989500
G5300330004200,53,033,42,3317,2530,787,634100
G5300330004301,53,033,43,1418,710,708,612200
G5300330004302,53,033,44,1519,130,1389,375000
G5300330004400,53,033,45,2508,651,1857,593800
G5300330004500,53,033,46,1004,630,374,542000
G5300330004600,53,033,47,1441,859,582,701100
G5300330004700,53,033,48,5098,1284,3814,460600
G5300330004800,53,033,49,2181,1226,955,572100
G5300330004900,53,033,50,3612,704,2908,527200
G5300330005000,53,033,51,1980,461,1519,586900
G5300330005100,53,033,52,1620,1049,571,667100
G5300330005200,53,033,53,2940,574,2366,494000
G5300330005301,53,033,54,2808,74,2734,138500
G5300330005302,53,033,55,133,4,129,NA
G5300330005400,53,033,56,2884,1309,1575,543600
G5300330005600,53,033,57,2617,2448,169,748000
G5300330005700,53,033,58,2749,1920,829,621800
G5300330005801,53,033,59,2694,1015,1679,477100
G5300330005802,53,033,60,2801,1027,1774,496400
G5300330005900,53,033,61,2709,1611,1098,690000
G5300330006000,53,033,62,2510,1319,1191,678900
G5300330006100,53,033,63,2922,1173,1749,698100
G5300330006200,53,033,64,1615,1340,275,823700
G5300330006300,53,033,65,2514,1597,917,1176700
G5300330006400,53,033,66,1344,1019,325,893900
G5300330006500,53,033,67,2408,1053,1355,864300
G5300330006600,53,033,68,2158,543,1615,547400
G5300330006700,53,033,69,4470,1427,3043,398200
G5300330006800,53,033,70,1417,658,759,822000
G5300330006900,53,033,71,2215,1218,997,776900
G5300330007000,53,033,72,4995,1462,3533,450300
G5300330007100,53,033,73,2686,509,2177,305400
G5300330007200,53,033,74,5413,684,4729,456800
G5300330007300,53,033,75,3999,440,3559,435600
G5300330007401,53,033,76,3559,810,2749,263600
G5300330007402,53,033,77,3514,720,2794,311600
G5300330007500,53,033,78,5236,949,4287,460400
G5300330007600,53,033,79,2079,667,1412,543500
G5300330007700,53,033,80,2297,1274,1023,457300
G5300330007800,53,033,81,2232,1641,591,820100
G5300330007900,53,033,82,3115,929,2186,386600
G5300330008001,53,033,83,4364,937,3427,409400
G5300330008002,53,033,84,2343,494,1849,525900
G5300330008100,53,033,85,2579,625,1954,591400
G5300330008200,53,033,86,2684,421,2263,545600
G5300330008300,53,033,87,2085,583,1502,331900
G5300330008400,53,033,88,3040,318,2722,351600
G5300330008500,53,033,89,1888,191,1697,301300
G5300330008600,53,033,90,1970,398,1572,489700
G5300330008700,53,033,91,1797,593,1204,445100
G5300330008800,53,033,92,1570,845,725,539200
G5300330008900,53,033,93,2227,971,1256,480300
G5300330009000,53,033,94,1747,459,1288,319200
G5300330009100,53,033,95,1493,99,1394,261000
G5300330009200,53,033,96,1728,70,1658,400000
G5300330009300,53,033,97,1107,546,561,395500
G5300330009400,53,033,98,2527,994,1533,400500
G5300330009500,53,033,99,2624,1897,727,556600
G5300330009600,53,033,100,2740,1411,1329,655400
G5300330009701,53,033,101,3060,1638,1422,625700
G5300330009702,53,033,102,2338,1960,378,495200
G5300330009800,53,033,103,3046,2025,1021,523200
G5300330009900,53,033,104,2802,1530,1272,337200
G5300330010001,53,033,105,1539,810,729,382600
G5300330010002,53,033,106,1818,851,967,392500
G5300330010100,53,033,107,2940,1517,1423,463100
G5300330010200,53,033,108,1928,1506,422,476100
G5300330010300,53,033,109,2598,1286,1312,342400
G5300330010401,53,033,110,1417,1119,298,362400
G5300330010402,53,033,111,1661,1168,493,347100
G5300330010500,53,033,112,3576,1467,2109,449600
G5300330010600,53,033,113,3599,2375,1224,494100
G5300330010701,53,033,114,1400,593,807,308700
G5300330010702,53,033,115,1494,524,970,345000
G5300330010800,53,033,116,1784,1169,615,336100
G5300330010900,53,033,117,610,272,338,319000
G5300330011001,53,033,118,1639,576,1063,295600
G5300330011002,53,033,119,1279,711,568,320900
G5300330011101,53,033,120,1788,813,975,323800
G5300330011102,53,033,121,1461,809,652,492300
G5300330011200,53,033,122,1412,637,775,258700
G5300330011300,53,033,123,2994,1279,1715,295900
G5300330011401,53,033,124,1706,779,927,302100
G5300330011402,53,033,125,1945,840,1105,271400
G5300330011500,53,033,126,1976,1398,578,379800
G5300330011600,53,033,127,3095,2220,875,574400
G5300330011700,53,033,128,1709,1247,462,305000
G5300330011800,53,033,129,2772,1322,1450,354700
G5300330011900,53,033,130,2600,1742,858,303700
G5300330012000,53,033,131,1490,1225,265,369900
G5300330012100,53,033,132,1202,1057,145,450800
