GISJOIN,AGPZE001,AGPZE002,AGPZE003,AGPZE004,AGPZE005,AGPZE006,AGPZE007,NAME_M,AGPZM001,AGPZM002,AGPZM003,AGPZM004,AGPZM005,AGPZM006,AGPZM007
G4802690950100,729,,,868,550,,,"Census Tract 9501, King County, Texas",156,,,478,115,,
G5300330000100,1035,1134,932,1272,1317,,,"Census Tract 1, King County, Washington",66,406,82,135,188,,
G5300330000200,1197,1500,981,1323,1598,,,"Census Tract 2, King County, Washington",69,443,34,102,355,,
G5300330000300,1326,,1055,1281,1670,1865,,"Census Tract 3, King County, Washington",286,,144,240,240,246,
G5300330000401,884,754,860,1096,,,,"Census Tract 4.01, King County, Washington",33,496,43,130,,,
G5300330000402,1027,1008,1022,981,1793,,,"Census Tract 4.02, King County, Washington",117,361,103,227,1313,,
G5300330000500,1906,,,,2125,,,"Census Tract 5, King County, Washington",346,,,,295,,
G5300330000600,1204,,1020,1337,1704,2198,,"Census Tract 6, King County, Washington",81,,92,175,124,149,
G5300330000700,1007,1775,880,1103,1610,,,"Census Tract 7, King County, Washington",76,801,51,91,456,,
G5300330000800,1696,,943,1596,2112,,,"Census Tract 8, King County, Washington",645,,169,845,428,,
G5300330000900,2059,,873,1200,3154,,,"Census Tract 9, King County, Washington",1406,,489,212,510,,
G5300330001000,1164,,1075,1211,,,,"Census Tract 10, King County, Washington",154,,131,161,,,
G5300330001100,1233,,1146,1278,,,,"Census Tract 11, King County, Washington",353,,188,597,,,
G5300330001200,1109,968,1021,1426,1466,,,"Census Tract 12, King County, Washington",64,59,105,172,632,,
G5300330001300,1020,,841,1249,1762,,,"Census Tract 13, King County, Washington",151,,108,166,211,,
G5300330001400,1399,,1183,1605,2157,,,"Census Tract 14, King County, Washington",150,,191,180,171,,
G5300330001500,1425,,1040,1574,1420,1983,,"Census Tract 15, King County, Washington",172,,280,406,1035,1283,
G5300330001600,1424,,865,1596,1955,,,"Census Tract 16, King County, Washington",361,,26,212,313,,
G5300330001701,1145,1046,1095,1272,1833,,,"Census Tract 17.01, King County, Washington",69,183,75,203,225,,
G5300330001702,1366,1337,987,1433,2055,,,"Census Tract 17.02, King County, Washington",106,118,114,200,334,,
G5300330001800,1292,937,1058,1275,1949,,,"Census Tract 18, King County, Washington",152,33,212,149,307,,
G5300330001900,1572,1101,1456,1612,1938,3075,,"Census Tract 19, King County, Washington",204,394,122,384,418,596,
G5300330002000,1530,759,1026,1634,1885,2210,,"Census Tract 20, King County, Washington",197,246,146,220,359,150,
G5300330002100,1518,,821,1561,1897,,,"Census Tract 21, King County, Washington",312,,96,206,245,,
G5300330002200,1854,,1277,,2385,,,"Census Tract 22, King County, Washington",322,,469,,349,,
G5300330002400,1496,950,1011,1471,1860,,,"Census Tract 24, King County, Washington",154,44,141,148,319,,
G5300330002500,1529,,1301,1627,1633,,,"Census Tract 25, King County, Washington",172,,624,163,1157,,
G5300330002600,1364,,1117,1177,2086,2547,2941,"Census Tract 26, King County, Washington",182,,80,86,517,467,641
G5300330002700,1805,,1314,1443,2184,2629,,"Census Tract 27, King County, Washington",511,,268,151,181,1115,
G5300330002800,1365,,1123,1490,3014,2105,,"Census Tract 28, King County, Washington",156,,182,265,631,330,
G5300330002900,1426,445,850,1735,1745,,,"Census Tract 29, King County, Washington",177,247,331,151,99,,
G5300330003000,1645,,952,1554,2255,2197,,"Census Tract 30, King County, Washington",248,,70,243,217,960,
G5300330003100,1480,,753,1420,2007,,,"Census Tract 31, King County, Washington",475,,450,469,456,,
G5300330003200,1271,996,1125,1558,2148,2050,,"Census Tract 32, King County, Washington",101,112,143,140,175,1423,
G5300330003300,1361,893,1028,1573,1931,,,"Census Tract 33, King County, Washington",117,629,127,186,451,,
G5300330003400,1392,,1095,1385,1879,3125,,"Census Tract 34, King County, Washington",86,,75,77,525,2345,
G5300330003500,1204,969,1098,1404,2398,2705,,"Census Tract 35, King County, Washington",98,103,94,247,410,81,
G5300330003600,1391,962,1146,1550,2595,2551,,"Census Tract 36, King County, Washington",146,226,128,218,262,403,
G5300330003800,1304,850,1098,1442,,,,"Census Tract 38, King County, Washington",253,20,51,145,,,
G5300330003900,1838,,873,1308,2348,2403,,"Census Tract 39, King County, Washington",444,,59,179,261,334,
G5300330004000,1082,99,1198,,730,,,"Census Tract 40, King County, Washington",253,,142,,12,,
G5300330004100,1516,,1308,1531,1986,,2255,"Census Tract 41, King County, Washington",185,,79,197,406,,366
G5300330004200,1670,898,931,1735,2131,,3130,"Census Tract 42, King County, Washington",227,87,164,217,380,,511
G5300330004301,1175,1130,1060,1208,1183,,1820,"Census Tract 43.01, King County, Washington",69,223,333,93,51,,882
G5300330004302,1037,968,887,1228,1717,1057,2566,"Census Tract 43.02, King County, Washington",123,233,72,165,177,846,627
G5300330004400,1164,867,1046,1591,1625,2741,2560,"Census Tract 44, King County, Washington",83,93,86,198,963,1867,1182
G5300330004500,1775,,788,1623,2140,1884,2744,"Census Tract 45, King County, Washington",217,,463,169,894,740,319
G5300330004600,1673,,1152,1729,2547,3464,,"Census Tract 46, King County, Washington",166,,120,120,548,646,
G5300330004700,1337,1286,1160,1610,1597,,,"Census Tract 47, King County, Washington",197,287,131,225,578,,
G5300330004800,1684,,1174,1685,2041,2727,,"Census Tract 48, King County, Washington",148,,109,131,394,1329,
G5300330004900,1337,908,1087,1813,2537,,,"Census Tract 49, King County, Washington",110,333,73,141,590,,
G5300330005000,1359,1265,1203,1565,1827,,,"Census Tract 50, King County, Washington",93,640,138,178,143,,
G5300330005100,1513,1066,1215,1659,2152,2571,,"Census Tract 51, King County, Washington",282,186,149,166,273,2066,
G5300330005200,1410,903,1278,1499,2147,,2083,"Census Tract 52, King County, Washington",147,304,188,270,200,,326
G5300330005301,1065,885,1018,1518,1701,,1601,"Census Tract 53.01, King County, Washington",69,84,100,180,224,,1363
G5300330005302,1120,,1200,850,,,,"Census Tract 53.02, King County, Washington",85,,119,211,,,
G5300330005400,1389,1343,1115,1779,1911,1987,,"Census Tract 54, King County, Washington",99,127,56,110,1145,585,
G5300330005600,2554,,,2383,2589,,,"Census Tract 56, King County, Washington",463,,,312,1583,,
G5300330005700,1323,1056,1038,1497,2644,,,"Census Tract 57, King County, Washington",194,746,75,237,263,,
G5300330005801,1312,873,1206,1400,2227,,,"Census Tract 58.01, King County, Washington",89,159,80,108,1133,,
G5300330005802,1377,1305,1065,1537,1953,,,"Census Tract 58.02, King County, Washington",87,362,351,183,1377,,
G5300330005900,1403,,1081,1619,2309,,,"Census Tract 59, King County, Washington",153,,130,174,1639,,
G5300330006000,1544,1441,1196,1711,2702,1333,,"Census Tract 60, King County, Washington",140,189,91,97,105,866,
G5300330006100,1363,1388,1262,1524,,,,"Census Tract 61, King County, Washington",78,283,96,162,,,
G5300330006200,1571,,1059,2375,1833,2417,,"Census Tract 62, King County, Washington",568,,309,540,775,669,
G5300330006300,1525,,1292,1726,2771,,,"Census Tract 63, King County, Washington",211,,150,174,1170,,
G5300330006400,1828,,,1784,,2824,,"Census Tract 64, King County, Washington",303,,,106,,707,
G5300330006500,1414,1142,1233,1808,,,,"Census Tract 65, King County, Washington",141,239,153,151,,,
G5300330006600,1427,1296,1308,1890,,,,"Census Tract 66, King County, Washington",93,137,89,313,,,
G5300330006700,1651,1495,1353,1868,2642,,,"Census Tract 67, King County, Washington",79,189,171,80,664,,
G5300330006800,1587,1657,1323,2005,2264,3063,,"Census Tract 68, King County, Washington",140,111,169,285,900,1498,
G5300330006900,1440,778,1290,1591,2801,,,"Census Tract 69, King County, Washington",123,166,113,122,169,,
